Escola;Distrito;Tipo de ensino;Tipo de escola;Vertente no secundário;Latitude;Longitude
Escola Artística do Conservatório de Música do Porto;Porto;Escola artística;Pública;Artes performativas;41.1553178;-8.6260695
Escola Artística de Dança do Conservatório Nacional;Lisboa;Escola artística;Pública;Artes performativas;38.7123116;-9.1500241
Escola Artística de Música do Conservatório Nacional;Lisboa;Escola artística;Pública;Artes performativas;38.700896;-9.1975995
Escola Artística do Conservatório de Música Calouste Gulbenkian;Braga;Escola artística;Pública;Artes performativas;41.552592;-8.409952
Academia de Música de Santa Cecília;Lisboa;Escola artística;Privada;Artes performativas;38.7822101;-9.1617967
Academia de Dança do Vale do Sousa;Porto;Escola artística;Privada;Artes performativas;41.2008337;-8.3281401
Conservatório de Música de Loulé;Faro;Escola artística;Pública;Artes performativas;37.1411785;-8.0263143
Escola de Música Sons e Compassos;Lisboa;Escola artística;Privada;Artes performativas;38.8505512;-9.3835432
Escola Secundária de Arouca;Aveiro;Ensino Secundário com Artes Visuais;Pública;"Artes visuais; Artes performativas";40.9286553;-8.2544986
Escola Básica e Secundária Dr. Manuel Laranjeira;Aveiro;Ensino Secundário com Artes Visuais;Pública;"Artes visuais; Artes performativas";41.0097961;-8.6321882
Escola Secundária de Gafanha da Nazaré;Aveiro;Ensino Secundário com Artes Visuais;Pública;Artes visuais;40.6295857;-8.7176519
Academia Contemporânea do Espectáculo;Porto;Escola profissional;Privada;Artes performativas;41.1489205;-8.6107469
Academia Contemporânea do Espectáculo - Famalicão;Braga;Escola profissional;Privada;Artes performativas;41.4085407;-8.5176333
Ballet Teatro Contemporâneo do Porto;Porto;Escola profissional;Privada;Artes performativas;41.1468024;-8.6080347
Centro de Educação e Desenvolvimento D. Maria Pia - Casa Pia de Lisboa;Lisboa;Ensino Secundário com Artes Visuais;Pública;Artes visuais;38.7197678;-9.1755674
Centro de Educação e Desenvolvimento Jacob Rodrigues Pereira - Casa Pia de Lisboa;Lisboa;Ensino Secundário com Artes Visuais;Pública;Artes visuais;38.6992353;-9.2113695
Centro de Educação e Desenvolvimento Nuno Álvares - Casa Pia de Lisboa;Lisboa;Ensino Secundário com Artes Visuais;Pública;Artes visuais;38.6984351;-9.1974841
Escola Secundária de Caldas das Taipas;Braga;Ensino Secundário com Artes Visuais;Pública;Artes visuais;41.4843434;-8.3527318
Escola Secundária José Estevão;Aveiro;Ensino Secundário com Artes Visuais;Pública;Artes visuais;40.637601;-8.6509696
Escola Secundária Diogo de Gouveia;Beja;Ensino Secundário com Artes Visuais;Pública;Artes visuais;38.0108104;-7.8658805
Escola Secundária Sá de Miranda;Braga;Ensino Secundário com Artes Visuais;Pública;Artes visuais;41.556811;-8.4208279
Escola Secundária D. Maria II;Braga;Ensino Secundário com Artes Visuais;Pública;Artes visuais;41.5487484;-8.4203113
Escola Secundária Camilo Castelo Branco;Braga;Ensino Secundário com Artes Visuais;Pública;Artes visuais;41.404094;-8.5244679
Escola Secundária José Falcão;Coimbra;Ensino Secundário com Artes Visuais;Pública;Artes visuais;40.2117525;-8.4155702
Escola Secundária Dr. Joaquim de Carvalho;Coimbra;Ensino Secundário com Artes Visuais;Pública;Artes visuais;40.1613454;-8.862724
Escola Secundária Poeta António Aleixo;Faro;Ensino Secundário com Artes Visuais;Pública;Artes visuais;37.1271182;-8.5430828
Escola Secundária da Amadora;Lisboa;Ensino Secundário com Artes Visuais;Pública;Artes visuais;38.7552464;-9.2336824
Escola Secundária Maria Amália Vaz de Carvalho;Lisboa;Ensino Secundário com Artes Visuais;Pública;Artes visuais;38.726484;-9.1593679
Escola Básica e Secundária D. Dinis;Porto;Ensino Secundário com Artes Visuais;Pública;Artes visuais;41.3418515;-8.4857095
Escola Secundária de Casquilhos;Setúbal;Ensino Secundário com Artes Visuais;Pública;Artes visuais;38.6509532;-9.0602726
Escola Secundária de Santa Maria Maior;Viana do Castelo;Ensino Secundário com Artes Visuais;Pública;Artes visuais;41.6995448;-8.8254761
Escola Secundária Alves Martins;Viseu;Ensino Secundário com Artes Visuais;Pública;Artes visuais;40.6541632;-7.9193058
Escola Secundária de Vila Verde;Braga;Ensino Secundário com Artes Visuais;Pública;Artes visuais;41.6460825;-8.4368633
Escola Básica e Secundária Coelho e Castro;Aveiro;Ensino Secundário com Artes Visuais;Pública;Artes visuais;40.9644298;-8.5673985
Escola Básica e Secundária Soares Basto;Aveiro;Ensino Secundário com Artes Visuais;Pública;Artes visuais;40.835658;-8.4848739
Escola Secundária Alberto Sampaio;Braga;Ensino Secundário com Artes Visuais;Pública;Artes visuais;41.5434655;-8.4157241
Escola Secundária Carlos Amarante;Braga;Ensino Secundário com Artes Visuais;Pública;Artes visuais;41.5509961;-8.4164839
Escola Secundária Amato Lusitano;Castelo Branco;Ensino Secundário com Artes Visuais;Pública;Artes visuais;39.8208564;-7.5011038
Escola Secundária Avelar Brotero;Coimbra;Ensino Secundário com Artes Visuais;Pública;Artes visuais;40.2056217;-8.4126672
Escola Secundária de Albufeira;Faro;Ensino Secundário com Artes Visuais;Pública;Artes visuais;37.1003029;-8.2486222
Escola Secundária Domingos Sequeira;Leiria;Ensino Secundário com Artes Visuais;Pública;Artes visuais;39.7460725;-8.8147245
Escola Secundária Ferreira Dias;Lisboa;Ensino Secundário com Artes Visuais;Pública;Artes visuais;38.7697442;-9.3016004
Escola Secundária de S. Lourenço;Portalegre;Ensino Secundário com Artes Visuais;Pública;Artes visuais;39.2952804;-7.4294867
Escola Secundária Filipa de Vilhena;Porto;Ensino Secundário com Artes Visuais;Pública;Artes visuais;41.1661577;-8.6107344
Escola Secundária Rocha Peixoto;Porto;Ensino Secundário com Artes Visuais;Pública;Artes visuais;41.3872757;-8.7661263
Escola Secundária António Sérgio;Porto;Ensino Secundário com Artes Visuais;Pública;Artes visuais;41.1221582;-8.6155319
Escola Secundária Emídio Navarro;Setúbal;Ensino Secundário com Artes Visuais;Pública;Artes visuais;38.6773062;-9.1579293
Escola Secundária Sebastião da Gama;Setúbal;Ensino Secundário com Artes Visuais;Pública;Artes visuais;38.527338;-8.8942751
Escola Secundária de Monserrate;Viana dos Castelo;Ensino Secundário com Artes Visuais;Pública;Artes visuais;41.693069;-8.8439824
Escola Secundária de Lousada;Porto;Ensino Secundário com Artes Visuais;Pública;Artes visuais;41.2731472;-8.2792721
Escola Secundária da Boa Nova;Porto;Ensino Secundário com Artes Visuais;Pública;Artes visuais;41.1934445;-8.703211
Escola Básica e Secundária Quinta das Flores;Coimbra;Ensino Secundário com Artes Visuais;Pública;Artes visuais;40.192532;-8.4110837
Escola Secundária António Damásio;Lisboa;Ensino Secundário com Artes Visuais;Pública;Artes visuais;38.7702285;-9.1105324
Escola Secundária de Amares;Braga;Ensino Secundário com Artes Visuais;Pública;Artes visuais;41.6335258;-8.3680686
Escola Secundária de Pinhal Novo;Setúbal;Ensino Secundário com Artes Visuais;Pública;Artes visuais;38.6372866;-8.9148138
Escola Básica e Secundária de Anadia;Aveiro;Ensino Secundário com Artes Visuais;Pública;Artes visuais;40.4281521;-8.4387442
Escola Básica e Secundária de Santa Maria da Feira;Aveiro;Ensino Secundário com Artes Visuais;Pública;Artes visuais;40.9231358;-8.5590656
Escola Secundária Stuart Carvalhais;Lisboa;Ensino Secundário com Artes Visuais;Pública;Artes visuais;38.7588844;-9.2797517
Escola Secundária da Lousã;Coimbra;Ensino Secundário com Artes Visuais;Pública;Artes visuais;40.11837;-8.2436971
Escola Secundária Públia Hortênsia de Castro;Évora;Ensino Secundário com Artes Visuais;Pública;Artes visuais;38.7798817;-7.4274123
Escola Secundária Eng. Acácio Calazans Duarte;Leiria;Ensino Secundário com Artes Visuais;Pública;Artes visuais;39.7423017;-8.9370583
Escola Secundária de Pombal;Leiria;Ensino Secundário com Artes Visuais;Pública;Artes visuais;39.9336637;-8.7449041
Escola Secundária Damião de Goes;Lisboa;Ensino Secundário com Artes Visuais;Pública;Artes visuais;39.0450446;-9.0009498
Escola Secundária de Cascais;Lisboa;Ensino Secundário com Artes Visuais;Pública;Artes visuais;38.6969729;-9.4362873
Escola Secundária José Afonso;Lisboa;Ensino Secundário com Artes Visuais;Pública;Artes visuais;38.8276523;-9.1658625
Escola Secundária Manuel Cargaleiro;Setúbal;Ensino Secundário com Artes Visuais;Pública;Artes visuais;38.6153385;-9.1172653
Escola Básica e Secundária de Ermesinde;Porto;Ensino Secundário com Artes Visuais;Pública;Artes visuais;41.2153142;-8.5503504
Escola Secundária de Marco de Canaveses;Porto;Ensino Secundário com Artes Visuais;Pública;Artes visuais;41.1882377;-8.150643
Escola Secundária de Paços de Ferreira;Porto;Ensino Secundário com Artes Visuais;Pública;Artes visuais;41.2789491;-8.3795569
Escola Secundária de Paredes;Porto;Ensino Secundário com Artes Visuais;Pública;Artes visuais;41.2023656;-8.3365822
Escola Secundária José Régio;Porto;Ensino Secundário com Artes Visuais;Pública;Artes visuais;41.360553;-8.7517624
Escola Secundária da Moita;Setúbal;Ensino Secundário com Artes Visuais;Pública;Artes visuais;38.6588133;-8.9888986
Escola Secundária Jorge Peixinho;Setúbal;Ensino Secundário com Artes Visuais;Pública;Artes visuais;38.709693;-8.9861839
Escola Secundária Santo André;Setúbal;Ensino Secundário com Artes Visuais;Pública;Artes visuais;38.644929;-9.0640846
Escola Secundária Professor José Augusto Lucas;Lisboa;Ensino Secundário com Artes Visuais;Pública;Artes visuais;38.7116137;-9.2381742
Escola Secundária de Penafiel;Porto;Ensino Secundário com Artes Visuais;Pública;Artes visuais;41.2090492;-8.2761946
Escola Secundária Dr. Manuel Candeias Gonçalves;Beja;Ensino Secundário com Artes Visuais;Pública;Artes visuais;37.5962066;-8.6342716
Escola Secundária do Restelo;Lisboa;Ensino Secundário com Artes Visuais;Pública;Artes visuais;38.7095565;-9.2169522
Escola Secundária Fernando Lopes Graça;Lisboa;Ensino Secundário com Artes Visuais;Pública;Artes visuais;38.6966023;-9.3553102
Escola Secundária Dom Manuel Martins;Setúbal;Ensino Secundário com Artes Visuais;Pública;Artes visuais;38.5225855;-8.8603457
Escola Secundária Antero de Quental;Açores;Ensino Secundário com Artes Visuais;Pública;Artes visuais;37.7408607;-25.6744086
Escola Básica e Secundária Armando Côrtes Rodrigues;Açores;Ensino Secundário com Artes Visuais;Pública;Artes visuais;37.7181683;-25.4380138
Escola Básica e Secundária Tomás de Borba;Açores;Ensino Secundário com Artes Visuais;Pública;Artes visuais;38.662157;-27.2450609
Escola Secundária Francisco Franco;Madeira;Ensino Secundário com Artes Visuais;Pública;Artes visuais;32.6520562;-16.9075117
Escola Básica e Secundária de Machico;Madeira;Ensino Secundário com Artes Visuais;Pública;Artes visuais;32.7251266;-16.7730328
Externato Cooperativo da Benedita;Leiria;Ensino Secundário com Artes Visuais;Privada;Artes visuais;39.4265818;-8.9845654
Salesianos de Lisboa - Colégio Oficinas de São José;Lisboa;Ensino Secundário com Artes Visuais;Privada;Artes visuais;38.7137612;-9.1714121
Colégio do Amor de Deus;Lisboa;Ensino Secundário com Artes Visuais;Privada;Artes visuais;38.7139516;-9.4214096
Escola Portuguesa de Macau;Estrangeiro;Ensino Secundário com Artes Visuais;Privada;Artes visuais;22.1911367;113.5398222
Escola Artística Soares dos Reis;Porto;Escola artística;Pública;Artes visuais;41.1587091;-8.5975979
Escola Artística António Arroio;Lisboa;Escola artística;Pública;Artes visuais;38.7362849;-9.1300386
Escola Artística do Conservatório de Música de Coimbra;Coimbra;Escola artística;Pública;Artes performativas;40.1933655;-8.4099169
Escola Artística do Instituto Gregoriano de Lisboa;Lisboa;Escola artística;Pública;Artes performativas;38.7489663;-9.1529185
